publication,author,date,year,month,day,reason,state_arc
The Invisibles,Grant Morrison  ,2016-04-22 00:00:00,2016,4.0,22,"DOC 309.04 4 (c) 8 a.  Numerous depictions of nudity, sex acts ",wi
Ironmen,Lorenzo Gomez,2011-06-08 00:00:00,2011,6.0,8,Features Nudity DOC 309.04(4)c.8.a. ,wi
Is It Wrong To Pick Up Girls In A Dungeon #7,Fujino Omori,,,,,DOC309.04 4 (c) 8 a. nudity,wi
The Isis Papers: The Keys to the Colors,Frances Cress Welsing,2007-03-23 00:00:00,2007,3.0,23,Black Separatist material,wi
It's All Good,Boogie,2007-01-06 00:00:00,2007,1.0,6,"contains nudity, gang signs & graffiti and shows people using drugs",wi
IT'S LIKE CANDY,"Gray, Erick S.",2009-12-11 00:00:00,2009,12.0,11,"309.04 (4), (c) 5, concerns activity & 8 is injurious (a) Is pornographic ",wi
Jack Boys The Second Amendment,Bozey Gee,,,,,"DOC 309.04 4 (c) 8 b, c. Graphic violence, glorifies gangs and drug dealing.  ",wi
Japanese Goth,Tiffany Godoy ,,,,,DOC 309.04 4 (c) 8 a Is pornography,wi
Jenny's Backdoor Lust, Betty Bowman,2010-10-04 00:00:00,2010,10.0,4,DOC 309.04(4) C.8.a. Depicts Human Sexual Behavior.,wi
Jesse Ventura's Marijuana Manifesto,Jesse Ventura w/Jen Hobbs,,,,,"DOC 309.04 4 (c) 8 b, c.  “How to” book on cooking marijuana ",wi
JIU-JITSU University,Saulo Ribeiro with Kevin Howell,2010-03-16 00:00:00,2010,3.0,16,fighting techniques 368 pages. DOC 309.05(2)B 1 and 4,wi
Joaquin El Chapo Guzman,Wl Varon De La Droga,2016-02-11 00:00:00,2016,2.0,11,"DOC 309.04 4 (c) 8 b,c. b. poses a threat to security",wi
Jock Sturges: Notes,Jock Sturges,2007-04-02 00:00:00,2007,4.0,2,"DOC 309.02 (14, 16a, 5) child nudity",wi
John Willie's Bizarre,Taschen,,,,,Security,wi
The Joy of Chemistry,Cathy Cobb & Monty L. Fetterolf  ,2017-09-05 00:00:00,2017,9.0,5,DOC 309.04 4 (C) 8 b. Poses a threat to the security,wi
The Juliette Society,Sasha Grey,,,,,DOC 309.04 4 (c) 8a.  Is Pornography,wi
"The Juliette Society, Book II: The Janus Chamber",Sasha Grey,,,,,"DOC 309.04 4 (c) 8 a. Though ""consensual"", depicts giving pain and torture. Not suitable for correctional environment. ",wi
Juxtapoz Tattoo,Roger Gastman,2016-10-21 00:00:00,2016,10.0,21,DOC 309.04 4 (c) 8 a. Several photos showing pubic area/labia/pubic hair region.,wi
K-9 Personal Protection,,,,,,Per Brian Foster,wi
Kali Linux Hacking,Ethem Mining,,,,,309.05(1)(2),wi
Kama Sutra for the 21st Century Lovers,Anne Hooper,2008-06-24 00:00:00,2008,6.0,24,309.04 (4)(8)(a) Features Nudity,wi
Katlick School,Sante D'Orazio,,,,,DOC 309.00.50 - Pornography  ,wi
Kern New York Girls,Taschen,,,,,Security,wi
Khalifa Forgotten Mean are Dangerous,,,,,,"309.04 4 (c) 8 c Is inconsistent with or poses a threat to the safety, treatment or rehabilitative goals of an inmate.  Book glorify drug dealing, gangs and violence.  ",wi
Kick Ass,"Mark Millar, John Romita Jr.",2015-06-01 00:00:00,2015,6.0,1,"DOC 309.04 4 (c) 8 a, c.  Nudity/sex acts/torture",wi
Kill Them Before They Grow,Michael Porter,,,,,"DOC 309.04(4)c.8.c., 12 and 309.05 (2)b.1 and b.4. ",wi
KillAdelpha,Jimmy Dasaint,,,,,"DOC 309.04 4 (c) 8 a, c.  a. depicts sex with a minor",wi
The Killer Poet,Yoshe,2015-04-08 00:00:00,2015,4.0,8,"DOC 309.04 4 (c) 8 a, b, c.  a. Is pornography.  b. Poses a threat to the security",wi
KILLER POKER,"Vorhaus, John",2010-05-12 00:00:00,2010,5.0,12,309.05.01 J. (3) Teach or Advocate behavior that violates DOC rules,wi
Killers Don’t Talk,PaPaSak,2015-07-24 00:00:00,2015,7.0,24,"DOC 309.04 4 (c) 8 b, c.  b. Poses a threat to the security",wi
Killers in the Family,Robert L. Snow,,,,,DOC 309.04 4 (c) 8 c. not suitable for correctional environment due to nature of crimes and stories,wi
KILLING JOHNNY FRY,,2009-05-20 00:00:00,2009,5.0,20,"309.04 (4), (c) 5, concerns activity & 8 is injurious (a) Is pornographic ",wi
Kim Kardashian West: Selfish,Kim Kardashian West,2015-05-26 00:00:00,2015,5.0,26,"DOC 309.04 4 (c) 8 a.  “Selfies” include photos of breasts, nipples",wi
The King Cartel - Love and War,Frank Gresham,,,,,"DOC 309.04 4 (c) 8 b, c.  b. glorifies gangs, drugs & violence",wi
The King Cartel 2 Truth and Consequences,,,,,,"DOC 309.04 4 (c) 8 b, c.  b. glorifies gangs, drugs & violence",wi
The King Cartel 3 Island Blood,,,,,,"DOC 309.04 4 (c) 8 b, c.  b. glorifies gangs, drugs & violence",wi
King of New York - Blue Pring of a Legend,T.J. Edwards,,,,,"DOC 309.04 4 (c) 8 b, c.  b. glorifies gangs, drugs & violence",wi
King of New York - The Life of Show Biz,T.J. Edwards,,,,,"DOC 309.04 4 (c) 8 b, c.  b. glorifies gangs, drugs & violence",wi
King of New York - Blood of My Father's Throne,T.J. Edwards,,,,,"DOC 309.04 4 (c) 8 b, c.  b. glorifies gangs, drugs & violence",wi
Kingpin Killaz - Extended Clips and No Remorse,Hood Rich,,,,,"DOC 309.04 4 (c) 8 b, c.  b. glorifies gangs, drugs & violence",wi
Kingpin Killaz - Extended Clips and No Remorse III,Hood Rich,,,,,"b. Poses a threat to the security, orderly operation, discipline or safety of the institution. c. Is inconsistent with or poses a threat to the safety, treatment or rehabilitative goals of an inmate. ",wi
Kingpins: Chicago (Carl Weber's),Silk Smooth,,,,,"309.05
2. Teach or advocate behavior that violates the law of the state or the United States or the rules of the department.",wi
Kingpins: Detroit (Carl Weber's),Ms. Michel Moore,,,,,"309.05
2. Teach or advocate behavior that violates the law of the state or the United States or the rules of the department.",wi
Kings of the Block,Dwan Williams,,,,,DOC 309.00.50 - pornography,wi
"Kisses, Sighs & Cherry Blossom Pink ",Milk Morinaga,,,,,DOC 309.04 4 (c) 8 a.  teenage sexual themes,wi
The Kiss,Kathryn Harrison,2015-03-11 00:00:00,2015,3.0,11,"DOC 309.04 4 (c) 8 a, c. Is pornography",wi
Knockemstiff,Donald Ray Pollock,,,,,DOC 309.05 (2)(b)(4),wi
Knockout Fitness,Andy & Jamie Dumas,2010-02-04 00:00:00,2010,2.0,4,teaches fighting techniques. Denied for 309.05(2)B1 and 4,wi
Knotting and Splicing Ropes and Cordage ,Paul H. Hasluck,,,,,DOC 309.04 4 (c) 8 b.  Shows various knots and means to fashion rope ladders that could be used to escape,wi
Knowledge of Self: A Collection of Wisdom on the Science of Everything in Life,Dr. Supreme Understanding Allah,,,,,5% literature & symbolism: STG Agency Coordinator,wi
Knuckle Supper Supper Ultimate Gutter Fix Edition,Drew Stepek,,,,,DOC 309.05,wi
Konosuba: God’s Blessing on this Wonderful World 4,Natsume Akatsuki  ,,,,,"DOC 309.04 4 (c) 8 a. nudity, teenage sexuality.  ",wi
Krav Maga for Beginners,"Levine, Whitman, Hoover",,,,,Library Committee DOC 309.05 (2)(b)(4),wi
Kustom Kamera: Greased Up Eye Candy (Korero),Yahya El-Droubie,1816-03-01 00:00:00,1816,3.0,1,"DOC 309.04 4 (c) 8 a. Photos of naked women, breasts",wi
La CIA Camnerena y Caro Quintero,La Historis Secreta,2016-02-11 00:00:00,2016,2.0,11,"DOC 309.04 4 (c) 8 b,c. b. poses a threat to security",wi
Ladies Home Erotica, Illustrated by Pat Alder  ,2017-08-01 00:00:00,2017,8.0,1,"DOC 309.04 4(c) 8 a.  Numerous depictions/drawings of naked caricatures to include breasts and genitalia, stories of minors engaging in sexual play.",wi
The Ladies Who Love Prisoners Secrets Exposed!,Mike Enemigo,,,,,Per Brian Foster,wi
Lady Death,,,,,,309.00.50 - Pornography,wi
Land of the Rising Dead,Dai Akagane,,,,,DOC 309.04 4 (c)8 a. Is pornography.  Latent teenage sexuality,wi
A Large Loving Family,,,,,,DOC 309.04 4 (c) 8 a. Is Pornography. depict incest in great detail.,wi
Last Man Standing (Vertigo graphic novel),"B. Vaughn, P. Guerra, J. Marzan Jr.",2016-11-18 00:00:00,2016,11.0,18,DOC 309.04 4 (c) 8 a.  Frontal nudity,wi
Last-Minute Survival Secrets,Joey Green,,,,,DOC 309.05 (b) 1.,wi
Last of a Dying Breed,Akbar Pray,2014-10-27 00:00:00,2014,10.0,27,DOC 309.04 (4)(c)8.a.  ,wi
The Last Real Nigga Alive,Tranay Adams,,,,,DOC 309.04 4 (c) 8 a.  Depicts sex with a police officer and prisoner,wi
The Last Real Nigga Alive 3,Tranay Adams,,,,,"DOC 309.04 4 (c) 8 a. Graphic violence, rape, gang rape",wi
Leadership and Training for the Fight,MSG Paul R. Howe,,,,,DOC 309.04 4 (c) 8 b. b. Poses a threat to the security,wi
Leda & The House of Spirits,Aarona Griffin,,,,,Porn,wi
LEGACY Selected Paintings & Drawings by Frank Frazetta,Frank Frazetta,2012-12-21 00:00:00,2012,12.0,21,Features nudity DOC 309.04(4)8a.c.,wi
Lesbian Prison Stories 12,Torri Tumbles,,,,,DOC 309.04 4 (c) 8 a Is pornography,wi
Lesbian Sex Bible The New Guide to Sexual Love for Same Sex Couples,Diana Cage,,,,,DOC 309.04 4 (c) 8 a.  Is Pornography,wi
Lesbian Sex Secrets for Men, A. Goddard and K. Brungardt,,,,,"DOC 309.04 4(c) 8 a, c. a. Is Pornography",wi
Let's Draw Manga (Sexy Gals),Heisuke Shimohara,,,,,Sexual behavior: 309.09,wi
Letters from Christopher: The Tragic Confessions of the Watts Family Murders,Cherylyn Cadle,,,,,"DOC 309.04(4)(c)8.c. c. Is inconsistent with or poses a threat to the safety, treatment or rehabilitative goals of an inmate. 
DOC 309.04(4)(c)8.d. d. Facilitates criminal activity. 
DOC 309.04(4)(c)9. 9. Contains information that, if communicated, would create a clear danger of physical or mental harm to any person. 
",wi
Letter from Surrogate Sisters,,,,,,Nudity,wi
Letters to Cloe,Stefan Gerard,2007-07-18 00:00:00,2007,7.0,18,"309.04 (4) 8. a & c Sadomasochistic abuse, bondage, physical torture of a human being",wi
Letters to Penthouse III,editors of Penthouse,2015-04-08 00:00:00,2015,4.0,8,DOC 309.04 4 (c) 8 a. Pornography,wi
Letters to Penthouse IV,editors of Penthouse,2014-07-24 00:00:00,2014,7.0,24,DOC 309.04 (4) 8 (a) (c). Sex w/minor,wi
Letters to Penthouse IX,editors of Penthouse,2014-07-24 00:00:00,2014,7.0,24,DOC 309.05 (2) 8 (a) (b) (c). (sex w/correctional officer),wi
Letters to Penthouse VII,editors of Penthouse,2015-02-10 00:00:00,2015,2.0,10,DOC 309.04 (c) 8 a. sex between inmate and CO officer.,wi
Letters to Penthouse X,editors of Penthouse,,,,,DOC 309.04 4 (c) 8 a.  Depicts sex acts with corrupt LE.,wi
Letters to Penthouse XIII,editors of Penthouse,2014-08-14 00:00:00,2014,8.0,14,DOC 309.05 (2) 8 (a) (b) (c). (sex w/correctional officer),wi
Letters to Penthouse XIV,editors of Penthouse,2014-08-14 00:00:00,2014,8.0,14,DOC 309.05 (2) 8 (a) (b) (c). (sex w/correctional officer),wi
Letters to Penthouse XVII,editors of Penthouse,2016-09-02 00:00:00,2016,9.0,2,"DOC 309.04 4 (c) 8a.  Passages included speak to underage sex, violates written word for Administrative code.",wi
Letters to Penthouse XXI When Wild Meets Raunchy ,editors of Penthouse,,,,,per DOC 309.04 4 (c) 8 a Is pornography.  Stories include one of Police engaging in sex with citizen.,wi
Letters to Penthouse XVI  Hot and Uncensored,editors of Penthouse,,,,,DOC 309.04 4 (c) 8 a Is pornography.  Stories include one of Police engaging in sex with citizens while on duty,wi
Letters to Penthouse XXXIII,editors of Penthouse,,,,,per Larry Fuchs,wi
"Letters to Penthouse XXXVI Sultry Passions, Sinful Desires ",editors of Penthouse,,,,,"DOC 309.04 4 (c) 8 a, b, c.  a. depicts sex with correctional officer",wi
Letters to Penthouse XXXX,editors of Penthouse,2017-03-10 00:00:00,2017,3.0,10,DOC 309.04 4(c) 8 a. Depicts sex with someone that may be a minor,wi
Letters to Penthouse XXXXII,editors of Penthouse,2015-09-25 00:00:00,2015,9.0,25,"DOC 309.04 4 (c) 8 a, c. Sadomasochistic abuse and bondage ",wi
Letters to Penthouse XXXXIII,editors of Penthouse,2017-03-14 00:00:00,2017,3.0,14,DOC 309.04 4 (c) 8 a.  Book describing masturbation includes stories of underage (minors) discussing their depictions of adventures.,wi
Letters to Penthouse XXXXIV,editors of Penthouse,2013-04-14 00:00:00,2013,4.0,14,"DOC 309.04 (4)c.8.a., 11. Staff sexual assault of inamte",wi
Letters to Penthouse XXXXVII,editors of Penthouse,2017-03-10 00:00:00,2017,3.0,10,309.04 4 (c) 8 a.  Depict and describes sex between police and citizen,wi
Letters to Penthouse XXXXVIII: Down and Dirty Lust,editors of Penthouse,,,,,"309.00.50
1. Written materials which the average person, applying state contemporary community standards, would find, when taken as a whole does all of the following: a. Appeals to the prurient interest. b. Describes human sexual behavior in a patently offensive way. c. Lacks serious literary, artistic, political, educational or scientific value.",wi
Letters to Penthouse Vol. 51 Back Door Adventures,editors of Penthouse,,,,,"DOC 309.04 4 (c) 8 a.  Is Pornography, Explicit stories of anal sex.  ",wi
Letters to Penthouse Vol. 53 Horny Milfs and Cougars on the Prowl,editors of Penthouse,,,,,DOC 309.04 4 (c 8 a. older women engaging in sexual encounters with minors,wi
Libertore,LeDonne,,,,,"309.00.50 2. Any material, other than written material, that shows any of the following: a. Human sexual behavior.",wi
Lickin’ License II,Intelligent Allah ,2015-10-12 00:00:00,2015,10.0,12,"DOC 309.04 4 (c) 8 b, c.  b. Poses a threat to the security",wi
"Licks Dirty, Nasty, Daddy",Peter Mask,,,,,DOC 309.04 4 (c) 8 a. Is pornography,wi
Lies We Tell: But The Secrets Me Keep,Milon V. Parker ,2015-04-21 00:00:00,2015,4.0,21,"DOC 309.04 4 (c) 8 a.  Depicts underage rape, violence",wi
LIFE DRAWING: HOW TO PORTRAY THE FIGURE WITH ACCURACY AND EXPRESSION,"Barrett, Robert",2015-02-11 00:00:00,2015,2.0,11,"309.04 (2) (b) 4, features nudity",wi
Life of a Pimp,Jiggy,2008-10-07 00:00:00,2008,10.0,7,309.04 (4)(8)(c)(d) and 309.05 (2)(b)(2).,wi
LIFE IN THE WORLD OF WOMEN,"Jakubowski, Maxim",2009-04-24 00:00:00,2009,4.0,24,"309.04 (4), (c) 5, concerns activity & 8 is injurious (a) Is pornographic ",wi
"Light from the North, The",Third Reich Books,2006-01-12 00:00:00,2006,1.0,12,White separatist material,wi
Lighting The Nude (Third Edition),Steve Luck  ,,,,,DOC 309.04 4 (c) 8 a. full frontal nudity,wi
Lights Out,George Sherman Hudson,2015-06-26 00:00:00,2015,6.0,26,"DOC 309.04 4 (c) 8 b, c threat to security",wi
Like Father Like Son : The Twisted Tale of a Murderous Father and Son Team of Sex Sadists,Robert Scott,,,,,DOC 309.04 (4)(c)(11).,wi
Lingerie,Lesley Scott,2015-06-12 00:00:00,2015,6.0,12,309.04 4 (c) 8 a.  Shows some nudity,wi
Linux In Easy Steps,Mike McGrath,,,,,Denied - gives various tips and procedures on how to circumvent computer security ,wi
Linux Toolbox 2nd Edtion,Christopher Negus,2017-07-03 00:00:00,2017,7.0,3,DOC 309.04 4 (c) 8 b.  b. Gives various tips and procedures on how to circumvent computer security.,wi
Lips Like Sugar – Women’s Erotic Fantasies,Violet Blue,2017-08-09 00:00:00,2017,8.0,9,"DOC 309.04 4 (c) 8 a, c.  It tells erotic stories that involve people in positions of authority taking advantage of others and engaging in violent role playing that would not be conducive to an inmate’s rehabilitation",wi
"Little Black Book of Sexual Positions, The",Dan & Jennifer Baritchi,,,,,"DOC 309.04 4 (c) 8 a.  Nudity, sexual positions",wi
Little Black Girl Lost,Kathleen Lee Johnson,2012-06-07 00:00:00,2012,6.0,7,"DOC 309.04 (4) 8 (a, c). Sexual assault of minor girl
",wi
Little Capoeira Nestor Capoeiro,Alex Ladd,2010-10-06 00:00:00,2010,10.0,6,Depicts fighting techniques. 309.05(2)B.1 and 4,wi
"Live By It, Die By It",Ice Money,,,,,309.05 (b.2),wi
Living off the Land ,Chris McNab,,,,,DOC 309.05 2 (b) 3. 3. Teach or describe the manufacture or use of weapons,wi
Locke & Key: Welcome to Lovecraft,Joe Hill & Gabriel Rodriguez,,,,,DOC 309.05,wi
Locksmithing & Electronic Wiring Diagrams,John L. Schum,2006-10-09 00:00:00,2006,10.0,9,per Dan Westfield,wi
Lolita 50th Anniversary Edition,Vladimir Nabokov,,,,,"DOC 309.04 4 (c) 8 a, c.  a. Is Pornography",wi
The Long Hard Road Out of Hell,Marilyn Manson,2014-10-10 00:00:00,2014,10.0,10,DOC 309.04 4(c) 8 a. Sexual content,wi
Long Live the Cartel,Ashley & JaQuavis,,,,,"Rape, drug and gang violence",wi
Lookers Embers #6,"Christian Zanier, Pat Shand, Gabriel Andrade",,,,,"DOC 309.04 4 (c) 8 a.  Is Pornography, full frontal nudity",wi
LOOSE GIRL,"Coles, Kerry",2014-04-23 00:00:00,2014,4.0,23,"309.05.01 J., (1): Pornography",wi
Lord Marksman and Vanadis 1,Tsukasa Kawaguchi  ,,,,,"DOC 309.04 4 (c) 8 a.  Nudity, teenage sexuality and themes",wi
Lord Marksman and Vanadis 2,Tsukasa Kawaguchi ,,,,,"DOC 309.04 4 (c) 8 a.  Nudity, teenage sexuality and themes",wi
Lord Marksman and Vanadis 3,Tsukasa Kawaguchi,,,,,"DOC 309.04 4 (c) 8 a.  Nudity, teenage sexuality and themes",wi
Lord Marksman and Vanadis 4,Tsukasa Kawaguchi,,,,,"DOC 309.04 4 (c) 8 a.  Nudity, teenage sexuality and themes",wi
Lord Marksman and Vanadis 5,Tsukasa Kawaguchi,,,,,"DOC 309.04 4 (c) 8 a.  Nudity, teenage sexuality and themes",wi
Lost and Turned Out ,Ernest Morris,,,,,DOC 309.04 4(c) 8 a. Is Pornography. Depicts pubescent girl engaging in incestuous sex acts with adult uncle,wi
The Lost Soul of a Child,Lady Lissa,,,,,DOC 309.05 (2) (b) 2. teach or advocate behavior that violates the law of the state or the US. Or rules of the department. /Sexual Assault of minors,wi
Love Affair: A memoir of a forbidden father daughter union,Leslie Kenton,2013-03-18 00:00:00,2013,3.0,18,DOC 309.05 (2) b. 2. 4.,wi
Love and Desire,William Ewing,,,,,309.02 (9.a) 309.04 (8.a),wi
Love at First Sting: Tales of Erotic Restraint,Alison Tyler,2015-07-24 00:00:00,2015,7.0,24,DOC 309.04 4 (c) 8 a.  Depicts sex with a Police officer.,wi
Love In Hell: Death Life - Vol 2,Reiji Suzumaru,,,,,309.04(4) (c ) 8.a. Pornography,wi
Love in the Ancient World,Christopher Miles,,,,,Porn,wi
Love Me: Brie's Submission Book 2,Red Phoenix,,,,,"DOC 309.04 4 (c) 8 a, c. a. Is Pornography c. Is inconsistent with or poses a threat to the safety, treatment or rehabilitative goals of an inmate. Graphic sexual content, degrades women and depicts unhealthy relationship dynamics.",wi
"Lovers Guide to Homemade Video, The",Serena Valles & Carlos Martinez,,,,,"DOC 309.04 4 (c) 8 a.  Nudity, sex acts.",wi
Loving the G-Spot,Marcia Durante,2017-04-05 00:00:00,2017,4.0,5,DOC 309.04 4 (c) 8a due to sexual activity drawings,wi
Low Down of Going Down: How to Give Her Mind Blowing Oral Sex,Marcy Michaels & Marie Desalle,2007-09-12 00:00:00,2007,9.0,12,"309.02 (16)1, 309.04 (4) 8 a., dpeicts oral sex",wi
Loyal to the Game A Woman's Ambition,T.J. & Jellisa,,,,,DOC 309.04 4 (c) 8 a is pornography,wi
Loyal to the Game 2 Fighting for Whats Mine,T.J. & Jellisa,,,,,DOC 309.04 4 (c) 8 a is pornography,wi
Loyal to the Game 3 Until My Last Breath,T.J. & Jellisa,,,,,DOC 309.04 4 (c) 8 a is pornography,wi
Luciferian Witchcraft The Book of the Serpent,Michael W. Ford,,,,,Denied for DOC 309.04 4 (c) 8 a. Is pornography,wi
Luis Royo III,Heavy Metal,2011-12-19 00:00:00,2011,12.0,19,"Denied for 309.04(4)C.8.A.
",wi
Luscious Stories of Anal Exoticism,Alison Tyler,,,,,"DOC 309.04 4 (c) 8 a, c.  a. Is Pornography",wi
Lust for the Devil,Felicien Rops,2015-06-01 00:00:00,2015,6.0,1,"DOC 309.04 4 (c) 8 a, b, c.  Drawings of graphic sex acts",wi
Mac OS X UNIX Toolbox,Christopher Negus,2017-08-23 00:00:00,2017,8.0,23,"DOC 309.04 4 (c) 8 b, c.   b. how to hack computers",wi
"Mack Within, The",Tariq “King Flex” Nasheed ,2015-09-25 00:00:00,2015,9.0,25,DOC 309.04 4 (c) 8 c.  c. poses a threat to the safety,wi
Mad Dogs Favorite Prison Recipes,Dan M. Allen,2017-08-18 00:00:00,2017,8.0,18,"DOC 309.04 4 (c 8 b, c.  b. Tells how to make alcoholic beverages",wi
Made in Abyss 1,Akihito Tsukushi,,,,,"DOC 309.04 4 (c) 8 a pornography.  Nudity, teenage sexuality",wi
Made in Abyss 2,Akihito Tsukushi,,,,,"DOC 309.04 4 (c) 8 a pornography.  Nudity, teenage sexuality",wi
Made in Abyss 3,Akihito Tsukushi,,,,,"DOC 309.04 4 (c) 8 a pornography.  Nudity, teenage sexuality",wi
Made in Abyss 4,Akihito Tsukushi,,,,,"DOC 309.04 4 (c) 8 a pornography.  Nudity, teenage sexuality",wi
Madonna Nudes +,Martin HM Schreiber,,,,,DOC 309.04 4 (c) 8 a.  Is Pornography.,wi
"Mafia Encyclopedia, The (2nd Edition)",Carl Sifakis,2006-03-08 00:00:00,2006,3.0,8,Includes graphic descriptions and pictures of murders,wi
MAGE The Awakening,Kraig Blackwelder,2010-11-04 00:00:00,2010,11.0,4,DOC 309.04(4)(c)8.c. Fantasy Role Play Games are not permitted,wi
Magi #23,Shinobu Ohtaka,2017-04-21 00:00:00,2017,4.0,21,"DOC 309.04 4 (c) 8 a.  Teenage nudity, sexuality and overtones",wi
Magic Mushrooms,Peter Stafford,2007-05-01 00:00:00,2007,5.0,1,DOC 309.05 (2 b. 3.),wi
Magic The Gathering Official Encyclopedia The Complete Card Game,Crey J. Hendon,2010-05-10 00:00:00,2010,5.0,10,DOC 309.04(4)(c)8.c. Fantasy Role Play Games are not permitted Per DAI Policy 309.20.03,wi
Magical Girl Spec-Ops Asuka Vol.01,Makoto Fukami,,,,,Per Brian Foster,wi
The Magical Shield,Frater U.D.,,,,,309.04(4)( c)(8)(b),wi
Magick in Theory and Practice,Aleister Crowley,2012-05-22 00:00:00,2012,5.0,22,"DOC 309.04 (4)(8) b & c, (10) satanic rituals",wi
Magickia The Art of Melanie Delon,Melanie Delon,,,,,DOC 309.04 4 (c) 8 a.  Is Pornography,wi
Magika Swordsman and Summoner 2,Mitsuki Mihara,,,,,309.00.50 - Pornography,wi
Magika Swordsman and Summoner 3,Mitsuki Mihara,,,,,309.00.50 - Pornography,wi
Magika Swordsman and Summoner 4,Mitsuki Mihara,,,,,309.00.50 - Pornography,wi
Magika Swordsman and Summoner 5,Mitsuki Mihara,,,,,309.00.50 - Pornography,wi
Maid to Order,Penny Birch,,,,,"DOC 309.04 4 (c) 8 a, c.  a. Pornography  ",wi
Manga: The Monster Book of Manga,Ikari Studio,,,,,DOC 309.04 4 (c) 8 a.  Is Pornography,wi
Majestika The Art of Michael Moore,Larry Elmore,2011-10-11 00:00:00,2011,10.0,11,Features Nudity. Doc 309.04(4)c.8.a,wi
"Majlis, The",Voice of Islam,,,,,Wife beating/Abuse,wi
Making A Longbow,Linda Schilling and Michael Wlotzka ,,,,,DOC 309.05 2 (b) 3.  3. Teach or describe the manufacture or use of weapons,wi
"Making Native American Hunting, Fighting, and Survival Tools",Monte Burch,,,,,"DOC 309.04 4 (c) 8 b. b. Poses a threat to the security, orderly operation, discipline or safety of the institution.",wi
Making a Rattan Bow,Linda Schilling and Michael Wlotzka ,,,,,"309.05 2 (b) 3. May not teach or describe the manufacture or use of weapons, ",wi
Makunouchi Deluxe 1 ,Ioji Manabe,,,,,DOC 309.04 4 (c) 8 a.  Is Pornography,wi
Male Multiple Orgasm,Somraj Pokras,,,,,"DOC 309.04 4 (c) 8 a, c.  a. Pornography  ",wi
Malefic ,Luis Royo,2010-11-04 00:00:00,2010,11.0,4,Features Nudity DOC 309.04(4)(c)8.a,wi
"Malware, Rootkits & Botnets: A Beginner’s Guide",Christopher Elisan,,,,,DOC 309.05 (2)(b)(4),wi
"Mammoth Book of Best New Erotica 12, The",Maxim Jakubowski ,2015-06-26 00:00:00,2015,6.0,26,DOC 309.04 4(c) depicting underage sexual encounter(s).,wi
Mammoth Book of Best New Erotica 13,Maxim Jakubowski ,,,,,DOC 309.04 4 (c) 8 a. underage girl involved in being raped/incest ,wi
"Mammoth Book of Best New Erotica, The",Maxim Jakubowski,2009-04-07 00:00:00,2009,4.0,7,"DOC 309.05(2)b.2, intercourse with child",wi
"Mammoth Book of Dirty , Sick, X-Rated Jokes and Politically Incorrect Jokes ",Geoff Tibballs,2017-03-10 00:00:00,2017,3.0,10,DOC 309.04 4(c) 8 b.  b. Jokes that offend various groups and could negatively affect institution climate,wi
Mammoth Book of Erotica,Maxim Jakubowski ,2015-05-06 00:00:00,2015,5.0,6,"DOC 309.04 4 (c) 8 a, c.  Depicts child molestation",wi
"Mammoth Book of Filthy Limericks, The",Glyn Rees,2015-05-12 00:00:00,2015,5.0,12,DOC 309.04 4 (c) 8 a. Numerous filthy limericks and pictures referring to sex,wi
"Mammoth Book of Gangs, The",James Morton,2015-01-22 00:00:00,2015,1.0,22,"DOC 309.04 4 (c) 8 b, c. 10. b. Poses a threat to the security",wi
"Mammoth Book of Gorgeous Guys, The",Barbara Cardy ,2015-11-20 00:00:00,2015,11.0,20,DOC 309.04 4 (c) 8 a.  Features full frontal nudity ,wi
"Mammoth Book of Illustrated Women Erotica, The",Maxim Jakubowski,,,,,"features nudity 309.04(4)8.a., 309.02 5.b.",wi
"Mammoth Book of New Erotica Photography, The",Maxim Jakubowski,2012-03-19 00:00:00,2012,3.0,19,"DOC 309.04(4)c. 8 a
",wi
"Mammoth Book of New Tattoo Art, The",Lal Hardy ,2014-10-29 00:00:00,2014,10.0,29,DOC 309.04 4 (c) 8 a. Many pictures of breasts and pubic areas,wi
THE MAMMOTH BOOK OF POKER,"Mendelson, Paul",2013-01-25 00:00:00,2013,1.0,25,309.05.01 J. (3) Teach or Advocate behavior that violates DOC rules,wi
"Mammoth Book of Skulls, The",Llya,2021-05-17 00:00:00,2021,5.0,17,allowed per Mike Sauders DOC 309.00.50 Pornography,wi
"Mammoth Book of Tattoos, The",Lal Hardy ,2010-05-13 00:00:00,2010,5.0,13,DOC 309.04(4)C.8.a. Nudity on 198 and 230,wi
"Mammoth Book of Threesomes and Moresomes, The",Linda Alvarez,,,,,DOC 309.04 4 (c) 8 a.  Is Pornography.,wi
Mammoth Book of Uniform Erotica,Barbara Cardy ,,,,,per Brian Foster,wi
Mammoth Book of Urban Erotic Confessions,edited by Barbara Cardy ,2015-04-21 00:00:00,2015,4.0,21,DOC 309.04 4 (c) 8 a.  Depicts sex acts ,wi
"Mammoth of 10000 Zingers, The ",Geoff Tibballs,2017-03-10 00:00:00,2017,3.0,10,"DOC 309.04 4(c) 8 b. b. Jokes that offend inmates of different races, cultures, etc. Disrupt institution climate.",wi
Man Ray,Manfred Heiting,2007-03-01 00:00:00,2007,3.0,1,309.02 (16) Nudity,wi
