publication,author,date,year,month,day,reason,state_arc
ABOLITIONIST. 2019/SUMMER. ISSUE 31. [ENGLISH/SPANISH BOUND TOGETHER],,2019-09-11 00:00:00,2019,9.0,11,,fl
ABOLITIONIST. 2020/FALL. ISSUE 33.,,2021-02-11 00:00:00,2021,2.0,11,,fl
ABOLITIONIST. 2021/SUMMER. ISSUE 35.,,2021-09-09 00:00:00,2021,9.0,9,,fl
ABOLITIONIST. 2021/WINTER. ISSUE 34.,,2021-04-22 00:00:00,2021,4.0,22,,fl
ABSOLUTE BEGINNER'S ORIGAMI: THE SIMPLE THREE-STAGE GUIDE TO CREATING EXPERT ORIGAMI. ,,2014-02-12 00:00:00,2014,2.0,12,,fl
ABSOLUTE DUO VOL 3. ,,2020-06-24 00:00:00,2020,6.0,24,,fl
ABSOLUTE DUO VOL 4. ,,2020-06-24 00:00:00,2020,6.0,24,,fl
ABSOLUTE FREEBSD: THE COMPLETE GUIDE TO FREEBSD. 2ND EDITION. ,,2017-02-22 00:00:00,2017,2.0,22,,fl
ABSOLUTE MAYHEM. ,,2018-04-19 00:00:00,2018,4.0,19,,fl
ABSOLUTE WATCHMEN. ,,2019-04-03 00:00:00,2019,4.0,3,,fl
ABUSE OF INNOCENCE: THE MCMARTIN PRESCHOOL TRIAL. ,,2015-12-02 00:00:00,2015,12.0,2,,fl
ACCESS 2002 DESKTOP DEVELOPER’S HANDBOOK. ,,2021-05-20 00:00:00,2021,5.0,20,,fl
ACCESS 2002 ENTERPRISE DEVELOPER’S HANDBOOK. ,,2021-05-20 00:00:00,2021,5.0,20,,fl
ACCESS 2003 BIBLE. ,,2016-04-12 00:00:00,2016,4.0,12,,fl
ACCESS 2003 PROGRAMMING: WEEKEND CRASH COURSE. ,,2016-04-12 00:00:00,2016,4.0,12,,fl
ACCESS 2003 VBA. PROGRAMMER'S REFERENCE. ,,2016-02-24 00:00:00,2016,2.0,24,,fl
ACCESS 2007: COMPREHENSIVE CONCEPTS AND TECHNIQUES. ,,2016-11-30 00:00:00,2016,11.0,30,,fl
ACCESS DATABASE DESIG & PROGRAMMING 3RD EDITION. ,,2018-04-19 00:00:00,2018,4.0,19,,fl
"ACCORDING TO HOYLE, ",,2013-01-18 00:00:00,2013,1.0,18,,fl
ACID DIARIES: A PSYCHONAUT'S GUIDE TO THE HISTORY AND USE OF LSD. ,,2018-05-02 00:00:00,2018,5.0,2,,fl
ACPUNCTURE POINTS HANDBOOK. ,,2018-07-25 00:00:00,2018,7.0,25,,fl
ACRES USA. 2019/06.,,2019-07-03 00:00:00,2019,7.0,3,,fl
ACRES USA. 2019/07.,,2019-07-03 00:00:00,2019,7.0,3,,fl
ACRES USA. 2020/01.,,2020-01-29 00:00:00,2020,1.0,29,,fl
ACRES USA. 2020-005.,,2020-05-21 00:00:00,2020,5.0,21,,fl
ACROBATIC SEX POSITIONS: SO CRAZY WE DARE YOU TO TRY THEM. ,,2016-05-24 00:00:00,2016,5.0,24,,fl
ACTIVITES FOR PRISONERS. 2018/08.,,2018-09-12 00:00:00,2018,9.0,12,,fl
ACUPRESSURE FOR COMMON AILMENTS. ,,2016-01-27 00:00:00,2016,1.0,27,,fl
ACUPRESSURE TECHNIQUES. ,,2021-04-22 00:00:00,2021,4.0,22,,fl
"ADAM BLACK VIDEO ILLUSTRATED. VOL. 07, NO. 11.",,2012-03-01 00:00:00,2012,3.0,1,,fl
ADAM EROTOMIC. VOL. 06 NO. 04.,,2015-06-24 00:00:00,2015,6.0,24,,fl
ADAM EROTOMIC. VOL. 06. NO. 06.,,2015-12-02 00:00:00,2015,12.0,2,,fl
ADAM EROTOMIC. VOL. 06. NO. 07.,,2015-12-02 00:00:00,2015,12.0,2,,fl
ADAM EROTOMIC. VOL. 06. NO. 08.,,2015-12-02 00:00:00,2015,12.0,2,,fl
ADAM EROTOMIC. VOL. 06. NO. 09.,,2015-12-02 00:00:00,2015,12.0,2,,fl
ADAM EROTOMIC. VOL. 08 NO. 03.,,2015-01-14 00:00:00,2015,1.0,14,,fl
ADAM EROTOMIC. VOL. 08 NO. 04.,,2014-09-24 00:00:00,2014,9.0,24,,fl
